muttype,factor
1:Del:C:0,0.177884615384615
1:Del:C:1,0.280952380952381
1:Del:C:2,0.174528301886792
1:Del:C:3,0.231132075471698
1:Del:C:4,0.188405797101449
1:Del:C:5,0.105263157894737
1:Del:T:0,0.241706161137441
1:Del:T:1,0.258373205741627
1:Del:T:2,0.242857142857143
1:Del:T:3,0.291866028708134
1:Del:T:4,0.240566037735849
1:Del:T:5,0.180094786729858
1:Ins:C:0,0.290476190476191
1:Ins:C:1,0.266666666666667
1:Ins:C:2,0.253588516746412
1:Ins:C:3,0.248803827751196
1:Ins:C:4,0.257142857142857
1:Ins:C:5,0.100478468899522
1:Ins:T:0,0.298578199052133
1:Ins:T:1,0.269230769230769
1:Ins:T:2,0.314285714285714
1:Ins:T:3,0.279620853080569
1:Ins:T:4,0.260663507109005
1:Ins:T:5,0.105769230769231
2:Del:M:1,0.195238095238095
2:Del:R:0,0.270531400966184
2:Del:R:1,0.227488151658768
2:Del:R:2,0.196172248803828
2:Del:R:3,0.200956937799043
2:Del:R:4,0.100478468899522
2:Del:R:5,0.0663507109004739
2:Ins:R:0,0.264150943396226
2:Ins:R:1,0.259433962264151
2:Ins:R:2,0.304761904761905
2:Ins:R:3,0.204761904761905
2:Ins:R:4,0.14218009478673
2:Ins:R:5,0.080188679245283
3:Del:M:1,0.240566037735849
3:Del:M:2,0.194174757281553
3:Del:R:0,0.213270142180095
3:Del:R:1,0.261904761904762
3:Del:R:2,0.20952380952381
3:Del:R:3,0.167464114832536
3:Del:R:4,0.118483412322275
3:Del:R:5,0.0625
3:Ins:R:0,0.221153846153846
3:Ins:R:1,0.221153846153846
3:Ins:R:2,0.186602870813397
3:Ins:R:3,0.180952380952381
3:Ins:R:4,0.166666666666667
3:Ins:R:5,0.0669856459330144
4:Del:M:1,0.161137440758294
4:Del:M:2,0.202898550724638
4:Del:M:3,0.176190476190476
4:Del:R:0,0.188679245283019
4:Del:R:1,0.219047619047619
4:Del:R:2,0.14218009478673
4:Del:R:3,0.104761904761905
4:Del:R:4,0.0754716981132076
4:Del:R:5,0.037914691943128
4:Ins:R:0,0.205741626794258
4:Ins:R:1,0.253588516746412
4:Ins:R:2,0.196172248803828
4:Ins:R:3,0.151658767772512
4:Ins:R:4,0.0947867298578199
4:Ins:R:5,0.0761904761904762
5:Del:M:1,0.165876777251185
5:Del:M:2,0.180952380952381
5:Del:M:3,0.185714285714286
5:Del:M:4,0.157894736842105
5:Del:M:5,0.138095238095238
5:Del:R:0,0.143540669856459
5:Del:R:1,0.181818181818182
5:Del:R:2,0.106280193236715
5:Del:R:3,0.120192307692308
5:Del:R:4,0.0241545893719807
5:Del:R:5,0.0188679245283019
5:Ins:R:0,0.153846153846154
5:Ins:R:1,0.188679245283019
5:Ins:R:2,0.185714285714286
5:Ins:R:3,0.123222748815166
5:Ins:R:4,0.0857142857142857
5:Ins:R:5,0.0143540669856459
